model,n_folds,rmse_mean,rmse_std,rmse_ci95,mae_mean,mae_std,mae_ci95,mape_pct_mean,mape_pct_std,mape_pct_ci95,r2_mean,r2_std,r2_ci95
"EC2 (refit C_Rd,c)",5,0.3096833850867552,0.07254233270714017,0.06358615817439212,0.23896260233022315,0.06335502382846978,0.055533126878658336,15.199003776634765,3.2032065446648557,2.8077343312983905,0.608939682498864,0.06319022509690472,0.05538867442143534
Ridge,5,0.3145674614970825,0.06029753890908513,0.05285312318364792,0.23738749344876026,0.057033995699958075,0.04999250143410648,15.696658331268784,4.000155928343506,3.5062912659389442,0.580752574618742,0.11212260428291713,0.09827979587643741
OLS,5,0.3150907600063754,0.060816928324470915,0.053308388079169745,0.23791109619346845,0.05774321187270775,0.0506141568187266,15.714426609466694,4.073589348923772,3.5706584970721638,0.5790287722759416,0.1146771624606919,0.10051896484572649
ElasticNet,5,0.31578100108084783,0.05832707608499276,0.051125936365499676,0.23877811384746664,0.0552982250870197,0.048471031409226824,15.788598890333512,3.8656674876779884,3.3884069500966545,0.5775388240629223,0.11002390856435183,0.09644020797044389
SVR (linear),5,0.31647193463561457,0.05738936626525919,0.05030399746866308,0.24064969643203446,0.053676659627825474,0.047049666615311035,15.835536066179477,3.326878666466714,2.9161377256364616,0.5743633027434601,0.11576954685211444,0.10147648198238447
Lasso,5,0.3164858864070489,0.05899438427766699,0.05171085778595842,0.23946973036845381,0.056096198054218505,0.04917048555438141,15.813648026773398,3.944528248147221,3.457531454393935,0.5759416534442137,0.1097571739000748,0.09620640472866251
NLR (d x fcm),5,0.31656713604373066,0.057544537478326566,0.050440011033846426,0.23932384758250652,0.05831138457778332,0.0511121821529981,15.69719675846562,3.9666677658726215,3.4769375973101737,0.5746874624918726,0.11301312899693004,0.09906037520453856
Random Forest,5,0.31708541355128794,0.05420511436982859,0.04751287761996226,0.24505910590291533,0.05468001173368757,0.047929143512828516,16.140140164744263,4.389826097371866,3.847852228745433,0.578735231744384,0.07515109768352227,0.06587284149760043
SVR (RBF),5,0.362161596284022,0.05964464910855409,0.05228084004113288,0.26149209445389643,0.0443502101399177,0.03887467319818853,16.645465865493172,3.4967770428623095,3.0650602186403213,0.33373034395091733,0.568059108916561,0.49792576284795176
Decision Tree,5,0.37223496237938186,0.06098770278796129,0.05345807849637048,0.29351140018077093,0.0519157611987269,0.04550617108844773,19.132827751959823,2.6642545710610257,2.3353220974607427,0.42338517922543284,0.06667425385650813,0.05844256027711403
SVR (poly-3),5,1.4004009161181945,1.3342403299093053,1.1695132137915893,0.5992047254323458,0.34503871429143934,0.3024397678497163,39.03542086065291,22.419539822136766,19.651593106092047,-12.693753411594871,23.58251175551166,20.670982951280692
